"exercicio";"bimestre";"uf";"funcao";"nome_funcao";"valor_total"
2019;1;11;"19";"Ciência e Tecnologia";5594070,82
2019;1;13;"19";"Ciência e Tecnologia";203865902,54
2019;1;14;"19";"Ciência e Tecnologia";10013979
2019;1;15;"19";"Ciência e Tecnologia";71905468,21
2019;1;16;"19";"Ciência e Tecnologia";12002148,2
2019;1;17;"19";"Ciência e Tecnologia";3135677
2019;1;21;"19";"Ciência e Tecnologia";112262002,62
2019;1;22;"19";"Ciência e Tecnologia";76140635,44
2019;1;24;"19";"Ciência e Tecnologia";14111038,47
2019;1;25;"19";"Ciência e Tecnologia";73307593,52
2019;1;26;"19";"Ciência e Tecnologia";241767172,31
2019;1;27;"19";"Ciência e Tecnologia";619098821,37
2019;1;28;"19";"Ciência e Tecnologia";57411249,71
2019;1;29;"19";"Ciência e Tecnologia";658455151,85
2019;1;31;"19";"Ciência e Tecnologia";429578803,07
2019;1;32;"19";"Ciência e Tecnologia";394687658,31
2019;1;33;"19";"Ciência e Tecnologia";3121649417,49
2019;1;41;"19";"Ciência e Tecnologia";299458028,69
2019;1;42;"19";"Ciência e Tecnologia";183786729,29
2019;1;43;"19";"Ciência e Tecnologia";230968230,19
2019;1;50;"19";"Ciência e Tecnologia";67317017,82
2019;1;51;"19";"Ciência e Tecnologia";103442144,65
2019;1;52;"19";"Ciência e Tecnologia";719848591,83
2019;1;53;"19";"Ciência e Tecnologia";876885391,72
2019;2;11;"19";"Ciência e Tecnologia";7740736,22
2019;2;12;"19";"Ciência e Tecnologia";9580988,44
2019;2;13;"19";"Ciência e Tecnologia";35950073,46
2019;2;14;"19";"Ciência e Tecnologia";20224820
2019;2;15;"19";"Ciência e Tecnologia";46547234,39
2019;2;16;"19";"Ciência e Tecnologia";3995198,29
2019;2;17;"19";"Ciência e Tecnologia";59910,16
2019;2;21;"19";"Ciência e Tecnologia";102149397,3
2019;2;22;"19";"Ciência e Tecnologia";40141937,57
2019;2;24;"19";"Ciência e Tecnologia";781688,65
2019;2;25;"19";"Ciência e Tecnologia";8147521,5
2019;2;26;"19";"Ciência e Tecnologia";59292882,45
2019;2;27;"19";"Ciência e Tecnologia";59380565,78
2019;2;28;"19";"Ciência e Tecnologia";34711291,8
2019;2;31;"19";"Ciência e Tecnologia";182737299,37
2019;2;32;"19";"Ciência e Tecnologia";24377821,88
2019;2;33;"19";"Ciência e Tecnologia";3444188225,41
2019;2;41;"19";"Ciência e Tecnologia";213785365,46
2019;2;42;"19";"Ciência e Tecnologia";39605733,59
2019;2;43;"19";"Ciência e Tecnologia";94566402,44
2019;2;50;"19";"Ciência e Tecnologia";15554670,15
2019;2;51;"19";"Ciência e Tecnologia";444210432,52
2019;2;52;"19";"Ciência e Tecnologia";1009737385,86
2019;2;53;"19";"Ciência e Tecnologia";53006165,22
2019;3;11;"19";"Ciência e Tecnologia";7723377,74
2019;3;12;"19";"Ciência e Tecnologia";20039460,26
2019;3;13;"19";"Ciência e Tecnologia";75155996,33
2019;3;15;"19";"Ciência e Tecnologia";27679563,18
2019;3;16;"19";"Ciência e Tecnologia";6228951,92
2019;3;17;"19";"Ciência e Tecnologia";4813236,18
2019;3;21;"19";"Ciência e Tecnologia";62515313,56
2019;3;22;"19";"Ciência e Tecnologia";27443764,77
2019;3;24;"19";"Ciência e Tecnologia";345695,79
2019;3;25;"19";"Ciência e Tecnologia";13197823,26
2019;3;26;"19";"Ciência e Tecnologia";524509604,33
2019;3;27;"19";"Ciência e Tecnologia";53212560,34
2019;3;28;"19";"Ciência e Tecnologia";39649319,47
2019;3;31;"19";"Ciência e Tecnologia";132670513,87
2019;3;32;"19";"Ciência e Tecnologia";36590256,71
2019;3;33;"19";"Ciência e Tecnologia";3983058227,01
2019;3;41;"19";"Ciência e Tecnologia";209322466,87
2019;3;42;"19";"Ciência e Tecnologia";42930309,72
2019;3;43;"19";"Ciência e Tecnologia";66116093,4
2019;3;50;"19";"Ciência e Tecnologia";9717312,4
2019;3;51;"19";"Ciência e Tecnologia";170787686,5
2019;3;52;"19";"Ciência e Tecnologia";214436144,34
2019;3;53;"19";"Ciência e Tecnologia";257799236,24
2019;4;11;"19";"Ciência e Tecnologia";4478772,86
2019;4;12;"19";"Ciência e Tecnologia";23681322,12
2019;4;13;"19";"Ciência e Tecnologia";118080153,54
2019;4;15;"19";"Ciência e Tecnologia";33857773,94
2019;4;16;"19";"Ciência e Tecnologia";3182048,26
2019;4;17;"19";"Ciência e Tecnologia";2394978,64
2019;4;21;"19";"Ciência e Tecnologia";58410847,13
2019;4;22;"19";"Ciência e Tecnologia";49259995,08
2019;4;24;"19";"Ciência e Tecnologia";2686720,67
2019;4;25;"19";"Ciência e Tecnologia";23763816,55
2019;4;26;"19";"Ciência e Tecnologia";97928092,11
2019;4;27;"19";"Ciência e Tecnologia";126618419,21
2019;4;28;"19";"Ciência e Tecnologia";26594608,76
2019;4;31;"19";"Ciência e Tecnologia";193728898,33
2019;4;32;"19";"Ciência e Tecnologia";24931590,91
2019;4;33;"19";"Ciência e Tecnologia";5819827245,01
2019;4;41;"19";"Ciência e Tecnologia";217165727,53
2019;4;42;"19";"Ciência e Tecnologia";28092118,85
2019;4;43;"19";"Ciência e Tecnologia";27576135,01
2019;4;50;"19";"Ciência e Tecnologia";16587032,95
2019;4;51;"19";"Ciência e Tecnologia";70766559,03
2019;4;52;"19";"Ciência e Tecnologia";135550275,67
2019;4;53;"19";"Ciência e Tecnologia";79905500,18
2019;5;11;"19";"Ciência e Tecnologia";6889125,2
2019;5;12;"19";"Ciência e Tecnologia";20835180,25
2019;5;13;"19";"Ciência e Tecnologia";89947729,19
2019;5;15;"19";"Ciência e Tecnologia";119545141,62
2019;5;16;"19";"Ciência e Tecnologia";6767819,9
2019;5;17;"19";"Ciência e Tecnologia";3975987,89
2019;5;21;"19";"Ciência e Tecnologia";17493290,7
2019;5;22;"19";"Ciência e Tecnologia";92175950,05
2019;5;24;"19";"Ciência e Tecnologia";2949148,46
2019;5;25;"19";"Ciência e Tecnologia";12612694,07
2019;5;26;"19";"Ciência e Tecnologia";53640959,18
