"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"1","AC",12,2018,1,"Ciência e Tecnologia",4089980.59
"2","AC",12,2018,1,"Difusão do Conhecimento Científico e Tecnológico",203622.67
"3","AC",12,2018,1,"FU19 - Administração Geral",3747744.14
"4","AC",12,2018,1,"FU19 - Demais Subfunções",138613.78
"5","AC",12,2018,2,"Ciência e Tecnologia",3667237.03
"6","AC",12,2018,2,"Difusão do Conhecimento Científico e Tecnológico",228670.55
"7","AC",12,2018,2,"FU19 - Administração Geral",3423148.38
"8","AC",12,2018,2,"FU19 - Demais Subfunções",15418.1
"9","AC",12,2018,3,"Ciência e Tecnologia",3827593.19
"10","AC",12,2018,3,"Difusão do Conhecimento Científico e Tecnológico",131086.02
"11","AC",12,2018,3,"FU19 - Administração Geral",3652688.04
"12","AC",12,2018,3,"FU19 - Demais Subfunções",43819.13
"13","AC",12,2018,4,"Ciência e Tecnologia",4028608.77
"14","AC",12,2018,4,"Difusão do Conhecimento Científico e Tecnológico",379410.83
"15","AC",12,2018,4,"FU19 - Administração Geral",3544821.92
"16","AC",12,2018,4,"FU19 - Demais Subfunções",104376.02
"17","AC",12,2018,5,"Ciência e Tecnologia",5159126.76
"18","AC",12,2018,5,"Desenvolvimento Tecnológico e Engenharia",7534.73
"19","AC",12,2018,5,"Difusão do Conhecimento Científico e Tecnológico",1516760.99
"20","AC",12,2018,5,"FU19 - Administração Geral",3621620.18
"21","AC",12,2018,5,"FU19 - Demais Subfunções",13210.86
"22","AC",12,2018,6,"Ciência e Tecnologia",5531978.57
"23","AC",12,2018,6,"Difusão do Conhecimento Científico e Tecnológico",690373.63
"24","AC",12,2018,6,"FU19 - Administração Geral",4571907.92
"25","AC",12,2018,6,"FU19 - Demais Subfunções",269697.02
"26","AC",12,2019,1,"Ciência e Tecnologia",2509609.33
"27","AC",12,2019,1,"Desenvolvimento Tecnológico e Engenharia",4793.67
"28","AC",12,2019,1,"Difusão do Conhecimento Científico e Tecnológico",32300.4
"29","AC",12,2019,1,"FU19 - Administração Geral",2472515.26
"30","AC",12,2019,2,"Ciência e Tecnologia",2997121.23
"31","AC",12,2019,2,"Desenvolvimento Tecnológico e Engenharia",9650.99
"32","AC",12,2019,2,"Difusão do Conhecimento Científico e Tecnológico",73763.65
"33","AC",12,2019,2,"FU19 - Administração Geral",2913706.59
"34","AC",12,2019,3,"Ciência e Tecnologia",3497875.98
"35","AC",12,2019,3,"Desenvolvimento Tecnológico e Engenharia",29517.05
"36","AC",12,2019,3,"Difusão do Conhecimento Científico e Tecnológico",203977.35
"37","AC",12,2019,3,"FU19 - Administração Geral",3088212.86
"38","AC",12,2019,3,"FU19 - Demais Subfunções",176168.72
"39","AC",12,2019,4,"Ciência e Tecnologia",4354455.82
