"Universidade";"Estado";"Ano";"Artigos"
"University of São Paulo";"SP";2019;17215
"University of São Paulo";"SP";2020;19288
"University of São Paulo";"SP";2021;19513
"University of São Paulo";"SP";2022;18010
"University of São Paulo";"SP";2023;17476
"University of São Paulo";"SP";2024;15431
"University of São Paulo";"SP";2025;5972
"University of Campinas";"SP";2019;7918
"University of Campinas";"SP";2020;7634
"University of Campinas";"SP";2021;7676
"University of Campinas";"SP";2022;6733
"University of Campinas";"SP";2023;6250
"University of Campinas";"SP";2024;5624
"University of Campinas";"SP";2025;2148
"Federal University of Rio de Janeiro";"RJ";2019;6518
"Federal University of Rio de Janeiro";"RJ";2020;7979
"Federal University of Rio de Janeiro";"RJ";2021;7929
"Federal University of Rio de Janeiro";"RJ";2022;6771
"Federal University of Rio de Janeiro";"RJ";2023;6655
"Federal University of Rio de Janeiro";"RJ";2024;5908
"Federal University of Rio de Janeiro";"RJ";2025;2052
"São Paulo State University";"SP";2019;8282
"São Paulo State University";"SP";2020;9449
"São Paulo State University";"SP";2021;9275
"São Paulo State University";"SP";2022;7705
"São Paulo State University";"SP";2023;7596
"São Paulo State University";"SP";2024;6427
"São Paulo State University";"SP";2025;2389
"Federal University of Rio Grande do Sul";"RS";2019;6964
"Federal University of Rio Grande do Sul";"RS";2020;7902
"Federal University of Rio Grande do Sul";"RS";2021;7700
"Federal University of Rio Grande do Sul";"RS";2022;6431
"Federal University of Rio Grande do Sul";"RS";2023;6103
"Federal University of Rio Grande do Sul";"RS";2024;5011
"Federal University of Rio Grande do Sul";"RS";2025;1710
"Federal University of Minas Gerais";"MG";2019;6081
"Federal University of Minas Gerais";"MG";2020;7241
"Federal University of Minas Gerais";"MG";2021;7097
"Federal University of Minas Gerais";"MG";2022;6377
"Federal University of Minas Gerais";"MG";2023;6089
"Federal University of Minas Gerais";"MG";2024;5469
"Federal University of Minas Gerais";"MG";2025;2044
"Federal University of São Paulo";"SP";2019;4021
"Federal University of São Paulo";"SP";2020;4692
"Federal University of São Paulo";"SP";2021;4766
"Federal University of São Paulo";"SP";2022;4280
"Federal University of São Paulo";"SP";2023;4147
"Federal University of São Paulo";"SP";2024;4065
"Federal University of São Paulo";"SP";2025;1749
"Rio de Janeiro State University";"RJ";2019;3165
"Rio de Janeiro State University";"RJ";2020;3942
"Rio de Janeiro State University";"RJ";2021;3810
"Rio de Janeiro State University";"RJ";2022;3531
"Rio de Janeiro State University";"RJ";2023;3448
"Rio de Janeiro State University";"RJ";2024;2930
"Rio de Janeiro State University";"RJ";2025;904
